,Forecast,Lower_CI,Upper_CI
1995-08-31,51.0,-13.901284918304981,115.90128491830498
1995-09-30,56.5,-8.401284918304981,121.40128491830498
1995-10-31,53.75,-11.151284918304981,118.65128491830498
1995-11-30,55.125,-9.776284918304981,120.02628491830498
1995-12-31,54.4375,-10.463784918304981,119.33878491830498
1996-01-31,54.78125,-10.120034918304981,119.68253491830498
1996-02-29,54.609375,-10.291909918304981,119.51065991830498
1996-03-31,54.6953125,-10.205972418304981,119.59659741830498
1996-04-30,54.65234375,-10.248941168304981,119.55362866830498
1996-05-31,54.673828125,-10.227456793304981,119.57511304330498
1996-06-30,54.6630859375,-10.238198980804981,119.56437085580498
1996-07-31,54.66845703125,-10.232827887054981,119.56974194955498
